#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
         610       1.736187e+00       3.670401e-01       6.469874e-01       3.609905e-02       6.200818e-03       1.789360e-02
         620       1.746330e+00       3.698521e-01       6.509433e-01       4.504331e-02       6.076029e-03       1.977629e-02
         630       1.727150e+00       3.647753e-01       6.443684e-01       4.931961e-02       7.759144e-03       2.019199e-02
         640       1.749786e+00       3.682121e-01       6.524462e-01       4.936631e-02       7.966678e-03       1.865105e-02
         650       1.736704e+00       3.632046e-01       6.477230e-01       4.313153e-02       7.582428e-03       1.580501e-02
         660       1.758365e+00       3.667170e-01       6.548201e-01       3.612694e-02       8.192763e-03       1.430188e-02
         670       1.742855e+00       3.629455e-01       6.487453e-01       3.059837e-02       9.349131e-03       1.406979e-02
         680       1.756698e+00       3.667283e-01       6.531136e-01       2.654040e-02       8.150234e-03       1.372922e-02
         690       1.746882e+00       3.658405e-01       6.494304e-01       2.569048e-02       5.920280e-03       1.357811e-02
         700       1.752475e+00       3.685382e-01       6.515195e-01       2.647994e-02       4.986730e-03       1.357278e-02
         710       1.748796e+00       3.688378e-01       6.506847e-01       2.784486e-02       6.529213e-03       1.427127e-02
         720       1.743485e+00       3.680979e-01       6.493569e-01       3.021968e-02       8.130546e-03       1.530387e-02
         730       1.746400e+00       3.685708e-01       6.507694e-01       3.436967e-02       7.867629e-03       1.656160e-02
         740       1.733530e+00       3.655995e-01       6.464286e-01       3.907637e-02       8.492433e-03       1.840876e-02
         750       1.744586e+00       3.680932e-01       6.503230e-01       4.430093e-02       9.312512e-03       2.006234e-02
         760       1.731994e+00       3.656124e-01       6.457994e-01       4.743748e-02       9.273542e-03       2.014126e-02
         770       1.751470e+00       3.699676e-01       6.525977e-01       4.773734e-02       7.713071e-03       1.871456e-02
         780       1.738109e+00       3.663148e-01       6.477896e-01       4.173014e-02       8.930825e-03       1.737446e-02
         790       1.756169e+00       3.692043e-01       6.536687e-01       3.430294e-02       1.051674e-02       1.663901e-02
         800       1.742762e+00       3.644340e-01       6.481900e-01       3.164459e-02       1.001079e-02       1.624752e-02
         810       1.755526e+00       3.660465e-01       6.521758e-01       2.881763e-02       8.670556e-03       1.563348e-02
         820       1.745799e+00       3.632455e-01       6.489763e-01       2.661428e-02       8.447455e-03       1.491928e-02
         830       1.750204e+00       3.642585e-01       6.512874e-01       2.955425e-02       6.695414e-03       1.459087e-02
         840       1.746387e+00       3.634860e-01       6.506212e-01       3.306977e-02       6.948567e-03       1.566486e-02
         850       1.741744e+00       3.633943e-01       6.493051e-01       3.882183e-02       9.633003e-03       1.776480e-02
         860       1.742759e+00       3.665548e-01       6.500193e-01       4.440717e-02       1.155108e-02       1.915519e-02
         870       1.730230e+00       3.678527e-01       6.460817e-01       4.678206e-02       1.074332e-02       1.947362e-02
         880       1.742084e+00       3.724461e-01       6.502757e-01       4.582747e-02       9.602508e-03       1.887044e-02
         890       1.732498e+00       3.694977e-01       6.461405e-01       4.053452e-02       8.501229e-03       1.818578e-02
         900       1.752249e+00       3.713198e-01       6.518820e-01       3.276393e-02       7.994225e-03       1.712038e-02
         910       1.739971e+00       3.660164e-01       6.465544e-01       2.665375e-02       9.023689e-03       1.629442e-02
         920       1.758405e+00       3.681686e-01       6.524131e-01       2.330665e-02       9.238323e-03       1.521771e-02
         930       1.745643e+00       3.643326e-01       6.479023e-01       2.390009e-02       9.028315e-03       1.487442e-02
         940       1.758277e+00       3.669218e-01       6.527430e-01       2.478224e-02       7.605593e-03       1.432274e-02
         950       1.746925e+00       3.647512e-01       6.495114e-01       3.159731e-02       8.042703e-03       1.481893e-02
         960       1.750280e+00       3.663678e-01       6.514916e-01       4.098300e-02       8.696930e-03       1.649070e-02
         970       1.743844e+00       3.659117e-01       6.499567e-01       4.920708e-02       1.057916e-02       1.844204e-02
         980       1.740506e+00       3.659838e-01       6.494220e-01       5.283266e-02       9.960616e-03       1.927316e-02
         990       1.746505e+00       3.675607e-01       6.517375e-01       5.056239e-02       9.019032e-03       1.849460e-02
        1000       1.741796e+00       3.658278e-01       6.494468e-01       4.386969e-02       9.264995e-03       1.718246e-02
        1010       1.758366e+00       3.681662e-01       6.541277e-01       3.668552e-02       9.210603e-03       1.614747e-02
        1020       1.746721e+00       3.646198e-01       6.491620e-01       3.232858e-02       7.175518e-03       1.545790e-02
        1030       1.762923e+00       3.677185e-01       6.544243e-01       2.871009e-02       4.960308e-03       1.450937e-02
        1040       1.743562e+00       3.640883e-01       6.475135e-01       2.862765e-02       6.234510e-03       1.478675e-02
        1050       1.758830e+00       3.684925e-01       6.532477e-01       2.712533e-02       7.652713e-03       1.461916e-02
        1060       1.742121e+00       3.664682e-01       6.481362e-01       2.845161e-02       7.621223e-03       1.468486e-02
        1070       1.754495e+00       3.709271e-01       6.532851e-01       3.137386e-02       8.144018e-03       1.510788e-02
        1080       1.739234e+00       3.688936e-01       6.482196e-01       3.925774e-02       7.573784e-03       1.740742e-02
        1090       1.741449e+00       3.697931e-01       6.488420e-01       5.002196e-02       8.920918e-03       1.974164e-02
        1100       1.735128e+00       3.674732e-01       6.465660e-01       5.721633e-02       7.762150e-03       2.055732e-02
        1110       1.733996e+00       3.649962e-01       6.461999e-01       5.785819e-02       9.022170e-03       2.025271e-02
        1120       1.743099e+00       3.641656e-01       6.490090e-01       5.038745e-02       1.010270e-02       1.954303e-02
        1130       1.738083e+00       3.606535e-01       6.464890e-01       3.690368e-02       9.225521e-03       1.815951e-02
        1140       1.756774e+00       3.646008e-01       6.524419e-01       2.790026e-02       9.111835e-03       1.661498e-02
        1150       1.741816e+00       3.626731e-01       6.471260e-01       2.787205e-02       9.061575e-03       1.516110e-02
        1160       1.762430e+00       3.696328e-01       6.547535e-01       2.948177e-02       7.757146e-03       1.372665e-02
        1170       1.739275e+00       3.659514e-01       6.471914e-01       3.318473e-02       7.596748e-03       1.406306e-02
        1180       1.756604e+00       3.697210e-01       6.537100e-01       3.191266e-02       8.066185e-03       1.545593e-02
        1190       1.733715e+00       3.645510e-01       6.460398e-01       3.412942e-02       8.009650e-03       1.849624e-02
        1200       1.749144e+00       3.679881e-01       6.518761e-01       4.055535e-02       6.971718e-03       1.997578e-02
        1210       1.734691e+00       3.658673e-01       6.471336e-01       4.865030e-02       7.588069e-03       2.032368e-02
        1220       1.743931e+00       3.684102e-01       6.503063e-01       5.500089e-02       8.339660e-03       2.000145e-02
        1230       1.743399e+00       3.682581e-01       6.497320e-01       5.465180e-02       8.358882e-03       1.864586e-02
        1240       1.746450e+00       3.684549e-01       6.503022e-01       4.756827e-02       7.912291e-03       1.655661e-02
        1250       1.757435e+00       3.702402e-01       6.535231e-01       3.737071e-02       8.595897e-03       1.508255e-02
        1260       1.743722e+00       3.661884e-01       6.480196e-01       3.043067e-02       5.302087e-03       1.499818e-02
        1270       1.762017e+00       3.690298e-01       6.539231e-01       2.943105e-02       5.556465e-03       1.566922e-02
        1280       1.737286e+00       3.620818e-01       6.452301e-01       3.098779e-02       7.639781e-03       1.624137e-02
        1290       1.763936e+00       3.677164e-01       6.549602e-01       2.995652e-02       7.055711e-03       1.515896e-02
        1300       1.734551e+00       3.616146e-01       6.454997e-01       3.293743e-02       8.758956e-03       1.433420e-02
        1310       1.761431e+00       3.693752e-01       6.556655e-01       3.722757e-02       5.678090e-03       1.409890e-02
        1320       1.731495e+00       3.640757e-01       6.456691e-01       4.237152e-02       5.647554e-03       1.605793e-02
        1330       1.753555e+00       3.697689e-01       6.535090e-01       4.685600e-02       1.042045e-02       1.803776e-02
        1340       1.734981e+00       3.651615e-01       6.466757e-01       4.625441e-02       9.042699e-03       1.912866e-02
        1350       1.749867e+00       3.670073e-01       6.512741e-01       4.227715e-02       7.567927e-03       1.898841e-02
        1360       1.747549e+00       3.652481e-01       6.497073e-01       3.599632e-02       8.520655e-03       1.806757e-02
        1370       1.747621e+00       3.647931e-01       6.491894e-01       3.175897e-02       8.104385e-03       1.660570e-02
        1380       1.760709e+00       3.679048e-01       6.535897e-01       2.878294e-02       8.792385e-03       1.521855e-02
        1390       1.741511e+00       3.645969e-01       6.470788e-01       2.675578e-02       8.769768e-03       1.436036e-02
        1400       1.768906e+00       3.714342e-01       6.572143e-01       2.715459e-02       7.622842e-03       1.412481e-02
        1410       1.732644e+00       3.639707e-01       6.453157e-01       3.158006e-02       7.499475e-03       1.481980e-02
        1420       1.767866e+00       3.719794e-01       6.585655e-01       4.112538e-02       7.939175e-03       1.576063e-02
        1430       1.721193e+00       3.609406e-01       6.428092e-01       4.957641e-02       9.327919e-03       1.693698e-02
        1440       1.754425e+00       3.679541e-01       6.545963e-01       5.514106e-02       7.078792e-03       1.823712e-02
        1450       1.713974e+00       3.577995e-01       6.396029e-01       5.169665e-02       9.287748e-03       1.952365e-02
        1460       1.749325e+00       3.656951e-01       6.511256e-01       4.732299e-02       1.058774e-02       1.965545e-02
        1470       1.727948e+00       3.617827e-01       6.435387e-01       4.246314e-02       1.120625e-02       1.855007e-02
        1480       1.748401e+00       3.683919e-01       6.508890e-01       4.200134e-02       9.838101e-03       1.726499e-02
        1490       1.742815e+00       3.685927e-01       6.487523e-01       4.061443e-02       9.338938e-03       1.683431e-02
        1500       1.741607e+00       3.684825e-01       6.479293e-01       3.573795e-02       9.006982e-03       1.631217e-02
        1510       1.757782e+00       3.710141e-01       6.535118e-01       2.830329e-02       8.456177e-03       1.524446e-02
        1520       1.730783e+00       3.635424e-01       6.444128e-01       2.637350e-02       7.737961e-03       1.520464e-02
        1530       1.766392e+00       3.698109e-01       6.574775e-01       3.288949e-02       8.026023e-03       1.611007e-02
        1540       1.720804e+00       3.596051e-01       6.418220e-01       4.270833e-02       7.432064e-03       1.775180e-02
        1550       1.771599e+00       3.711013e-01       6.599357e-01       5.229385e-02       7.691336e-03       1.905607e-02
        1560       1.717522e+00       3.609757e-01       6.409691e-01       5.506231e-02       8.350637e-03       1.916237e-02
        1570       1.773697e+00       3.746386e-01       6.606635e-01       5.711776e-02       8.192716e-03       1.939894e-02
        1580       1.722865e+00       3.637842e-01       6.426027e-01       5.126730e-02       8.970888e-03       1.840098e-02
        1590       1.770031e+00       3.743717e-01       6.588845e-01       4.515912e-02       8.896551e-03       1.796700e-02
        1600       1.732920e+00       3.648489e-01       6.456443e-01       3.700429e-02       7.743175e-03       1.664680e-02
        1610       1.756701e+00       3.690680e-01       6.538437e-01       3.296007e-02       7.627614e-03       1.549774e-02
        1620       1.746281e+00       3.651125e-01       6.499546e-01       3.174232e-02       8.032666e-03       1.499197e-02
        1630       1.743759e+00       3.633004e-01       6.488075e-01       3.198580e-02       8.484565e-03       1.484771e-02
        1640       1.762793e+00       3.671337e-01       6.553630e-01       3.146868e-02       7.559013e-03       1.465892e-02
        1650       1.729032e+00       3.603314e-01       6.436435e-01       3.325015e-02       7.998016e-03       1.537808e-02
        1660       1.770745e+00       3.708451e-01       6.586520e-01       3.443841e-02       7.648908e-03       1.524693e-02
        1670       1.715098e+00       3.601973e-01       6.394650e-01       3.820958e-02       9.141349e-03       1.676719e-02
        1680       1.773016e+00       3.740295e-01       6.600759e-01       4.308570e-02       7.993258e-03       1.865970e-02
        1690       1.709366e+00       3.608412e-01       6.375781e-01       4.445261e-02       8.425021e-03       1.986792e-02
        1700       1.775416e+00       3.748737e-01       6.603847e-01       4.460819e-02       6.548067e-03       1.939941e-02
        1710       1.721605e+00       3.624457e-01       6.411759e-01       3.952703e-02       7.328364e-03       1.688703e-02
        1720       1.778183e+00       3.734695e-01       6.608639e-01       3.302724e-02       7.308364e-03       1.428616e-02
        1730       1.737649e+00       3.624600e-01       6.465732e-01       2.844010e-02       8.190782e-03       1.287839e-02
        1740       1.761993e+00       3.661422e-01       6.551636e-01       2.941912e-02       7.051821e-03       1.345865e-02
        1750       1.746652e+00       3.620807e-01       6.500585e-01       3.184986e-02       9.496849e-03       1.471699e-02
        1760       1.739963e+00       3.617780e-01       6.483055e-01       3.243707e-02       9.254905e-03       1.582468e-02
        1770       1.757550e+00       3.684927e-01       6.552674e-01       3.869060e-02       8.143140e-03       1.710573e-02
        1780       1.719873e+00       3.625150e-01       6.424056e-01       4.335352e-02       8.472791e-03       1.905612e-02
        1790       1.761793e+00       3.737537e-01       6.572141e-01       4.892918e-02       9.197851e-03       2.007818e-02
        1800       1.708370e+00       3.618786e-01       6.379126e-01       4.866224e-02       9.354619e-03       2.003571e-02
        1810       1.770458e+00       3.749761e-01       6.591404e-01       4.925942e-02       6.616897e-03       1.941172e-02
        1820       1.711686e+00       3.610060e-01       6.378502e-01       4.202738e-02       6.835232e-03       1.892377e-02
        1830       1.771979e+00       3.730792e-01       6.584093e-01       3.463071e-02       6.646158e-03       1.821794e-02
        1840       1.717603e+00       3.600532e-01       6.389786e-01       2.866189e-02       8.484696e-03       1.728759e-02
        1850       1.765019e+00       3.699762e-01       6.555939e-01       2.473590e-02       8.740213e-03       1.537766e-02
        1860       1.728524e+00       3.618795e-01       6.428991e-01       2.675913e-02       7.202933e-03       1.530169e-02
        1870       1.753221e+00       3.676957e-01       6.519402e-01       2.966813e-02       6.863443e-03       1.512778e-02
        1880       1.742796e+00       3.657617e-01       6.488611e-01       3.395289e-02       7.687491e-03       1.555752e-02
        1890       1.741254e+00       3.657148e-01       6.489514e-01       3.818681e-02       9.171143e-03       1.598063e-02
        1900       1.755976e+00       3.694057e-01       6.545365e-01       4.242230e-02       9.972763e-03       1.705630e-02
        1910       1.726228e+00       3.628442e-01       6.441608e-01       4.545727e-02       8.643310e-03       1.872533e-02
        1920       1.762832e+00       3.713703e-01       6.569106e-01       4.768831e-02       8.573883e-03       2.008110e-02
        1930       1.722019e+00       3.615714e-01       6.423963e-01       4.558635e-02       9.549807e-03       1.851226e-02
        1940       1.772789e+00       3.717675e-01       6.598813e-01       4.278625e-02       8.412515e-03       1.662349e-02
        1950       1.723191e+00       3.596843e-01       6.420786e-01       3.780211e-02       8.556091e-03       1.650783e-02
        1960       1.771245e+00       3.690756e-01       6.586290e-01       3.296726e-02       7.927434e-03       1.543784e-02
        1970       1.730177e+00       3.598254e-01       6.438511e-01       3.154830e-02       8.849560e-03       1.538221e-02
        1980       1.768855e+00       3.681604e-01       6.571800e-01       3.034144e-02       8.030054e-03       1.470859e-02
        1990       1.740044e+00       3.628208e-01       6.470932e-01       3.035657e-02       9.542279e-03       1.528139e-02
        2000       1.756301e+00       3.681923e-01       6.532577e-01       2.968063e-02       9.066422e-03       1.545932e-02
        2010       1.746558e+00       3.683267e-01       6.505191e-01       3.634683e-02       9.057934e-03       1.578059e-02
        2020       1.741276e+00       3.689656e-01       6.490414e-01       4.322169e-02       8.046821e-03       1.641109e-02
        2030       1.748303e+00       3.712495e-01       6.513122e-01       4.786249e-02       8.441971e-03       1.775574e-02
        2040       1.727215e+00       3.656582e-01       6.434125e-01       4.716219e-02       7.740105e-03       1.880379e-02
        2050       1.754987e+00       3.697853e-01       6.526612e-01       4.368891e-02       7.501203e-03       1.801709e-02
        2060       1.730024e+00       3.613008e-01       6.436135e-01       3.565428e-02       7.888491e-03       1.639815e-02
        2070       1.767846e+00       3.681677e-01       6.565700e-01       2.852084e-02       7.582578e-03       1.474664e-02
        2080       1.735826e+00       3.606599e-01       6.451944e-01       2.774270e-02       6.662107e-03       1.371292e-02
        2090       1.770812e+00       3.697998e-01       6.574977e-01       2.670363e-02       7.277913e-03       1.306391e-02
        2100       1.739832e+00       3.643259e-01       6.470440e-01       2.971936e-02       8.557035e-03       1.355379e-02
        2110       1.762492e+00       3.696886e-01       6.554935e-01       3.177241e-02       8.003418e-03       1.399058e-02
        2120       1.737818e+00       3.633709e-01       6.472522e-01       3.853669e-02       9.136306e-03       1.644851e-02
        2130       1.747481e+00       3.643316e-01       6.507630e-01       4.710753e-02       8.822115e-03       1.847159e-02
        2140       1.738688e+00       3.626604e-01       6.477478e-01       5.222442e-02       8.079787e-03       2.038469e-02
        2150       1.736924e+00       3.633163e-01       6.471724e-01       5.172626e-02       8.879470e-03       2.118600e-02
        2160       1.745843e+00       3.664053e-01       6.502537e-01       4.603300e-02       1.030610e-02       2.026090e-02
        2170       1.737659e+00       3.656545e-01       6.470916e-01       3.778373e-02       9.932451e-03       1.835124e-02
        2180       1.759855e+00       3.712261e-01       6.543333e-01       3.229599e-02       9.429620e-03       1.665346e-02
        2190       1.740913e+00       3.670136e-01       6.470751e-01       3.017949e-02       9.436069e-03       1.562799e-02
        2200       1.763386e+00       3.712804e-01       6.546773e-01       2.873350e-02       8.321509e-03       1.481494e-02
        2210       1.735570e+00       3.636745e-01       6.450853e-01       2.953253e-02       9.654925e-03       1.529188e-02
        2220       1.757783e+00       3.674730e-01       6.532280e-01       2.928067e-02       1.049118e-02       1.550185e-02
        2230       1.735223e+00       3.617466e-01       6.457547e-01       3.073791e-02       1.000585e-02       1.573737e-02
        2240       1.752864e+00       3.662438e-01       6.523298e-01       3.341819e-02       9.736711e-03       1.537740e-02
        2250       1.735974e+00       3.633046e-01       6.466794e-01       3.733758e-02       8.805834e-03       1.576201e-02
        2260       1.745170e+00       3.657440e-01       6.499712e-01       4.032989e-02       8.837108e-03       1.652638e-02
        2270       1.741909e+00       3.646026e-01       6.486051e-01       4.176270e-02       9.361479e-03       1.749572e-02
        2280       1.744424e+00       3.648785e-01       6.492380e-01       4.125388e-02       9.099586e-03       1.766326e-02
        2290       1.751400e+00       3.668913e-01       6.516783e-01       3.950256e-02       7.809825e-03       1.695341e-02
        2300       1.742643e+00       3.658330e-01       6.487913e-01       3.739962e-02       7.320112e-03       1.599270e-02
        2310       1.758900e+00       3.698686e-01       6.545367e-01       3.504254e-02       6.945552e-03       1.524186e-02
        2320       1.742956e+00       3.663101e-01       6.487918e-01       3.329565e-02       7.213287e-03       1.502681e-02
        2330       1.762474e+00       3.702982e-01       6.555928e-01       3.232513e-02       4.908305e-03       1.506391e-02
        2340       1.740301e+00       3.647756e-01       6.479456e-01       3.315801e-02       7.777465e-03       1.570909e-02
        2350       1.759450e+00       3.682295e-01       6.549844e-01       3.472604e-02       7.974642e-03       1.550045e-02
        2360       1.740301e+00       3.633169e-01       6.483030e-01       3.784343e-02       6.748840e-03       1.557983e-02
        2370       1.753765e+00       3.665089e-01       6.528091e-01       4.276845e-02       6.458876e-03       1.738295e-02
        2380       1.736926e+00       3.640726e-01       6.467521e-01       4.628007e-02       7.531820e-03       1.967592e-02
        2390       1.745549e+00       3.679192e-01       6.499164e-01       4.774695e-02       8.602550e-03       2.012402e-02
        2400       1.743774e+00       3.690874e-01       6.495019e-01       4.402397e-02       9.286997e-03       1.816169e-02
        2410       1.744567e+00       3.698186e-01       6.496356e-01       3.684231e-02       8.048458e-03       1.667134e-02
        2420       1.748053e+00       3.696216e-01       6.504952e-01       2.997472e-02       8.634497e-03       1.620744e-02
        2430       1.739583e+00       3.651641e-01       6.471474e-01       2.658670e-02       9.483052e-03       1.593353e-02
        2440       1.752418e+00       3.648894e-01       6.513333e-01       2.456748e-02       8.136454e-03       1.542062e-02
        2450       1.735765e+00       3.593670e-01       6.454330e-01       2.705616e-02       7.790318e-03       1.595214e-02
        2460       1.751192e+00       3.633340e-01       6.512337e-01       2.739913e-02       7.839825e-03       1.676390e-02
        2470       1.732637e+00       3.622106e-01       6.454085e-01       3.303738e-02       9.783796e-03       1.794246e-02
        2480       1.753482e+00       3.706540e-01       6.533338e-01       4.072293e-02       1.005849e-02       1.839095e-02
        2490       1.735656e+00       3.700136e-01       6.473482e-01       4.683343e-02       9.869506e-03       1.846365e-02
        2500       1.751760e+00       3.749541e-01       6.529198e-01       5.178472e-02       8.885155e-03       1.863012e-02
        2510       1.739891e+00       3.710175e-01       6.483809e-01       5.257019e-02       8.061504e-03       1.862628e-02
        2520       1.753758e+00       3.705240e-01       6.527082e-01       4.969711e-02       8.606990e-03       1.805971e-02
        2530       1.748880e+00       3.649952e-01       6.505505e-01       4.372021e-02       8.718879e-03       1.719463e-02
        2540       1.748360e+00       3.614279e-01       6.500876e-01       3.699945e-02       8.554687e-03       1.634844e-02
        2550       1.751720e+00       3.609178e-01       6.510866e-01       3.193489e-02       8.133733e-03       1.561730e-02
        2560       1.744909e+00       3.606677e-01       6.486985e-01       3.035710e-02       6.195557e-03       1.530743e-02
        2570       1.757084e+00       3.661862e-01       6.533195e-01       3.212557e-02       7.411023e-03       1.526382e-02
        2580       1.738790e+00       3.654017e-01       6.474188e-01       3.678368e-02       7.945749e-03       1.576421e-02
        2590       1.755660e+00       3.711914e-01       6.535926e-01       3.970770e-02       8.579649e-03       1.569980e-02
        2600       1.734946e+00       3.669589e-01       6.461260e-01       4.098237e-02       9.120317e-03       1.635330e-02
        2610       1.753218e+00       3.705010e-01       6.521864e-01       4.027803e-02       1.033426e-02       1.736364e-02
        2620       1.732381e+00       3.649885e-01       6.449382e-01       3.895777e-02       1.104485e-02       1.808074e-02
        2630       1.750839e+00       3.686079e-01       6.517463e-01       3.751694e-02       1.152287e-02       1.698889e-02
        2640       1.739406e+00       3.657054e-01       6.478526e-01       3.622630e-02       1.031740e-02       1.575036e-02
        2650       1.753505e+00       3.685657e-01       6.525172e-01       3.367027e-02       8.493405e-03       1.460074e-02
        2660       1.750296e+00       3.674074e-01       6.510334e-01       3.176874e-02       7.380237e-03       1.409111e-02
        2670       1.754118e+00       3.674625e-01       6.523021e-01       3.198084e-02       7.687345e-03       1.371560e-02
